cluster,gene,rank,score,method,direction
clusterFour,RRN3,150,0.08698800586094199,rawMAE,min
clusterFour,AKTIP,151,0.087022776373584,rawMAE,min
clusterFour,MPDU1,152,0.0870368549900695,rawMAE,min
clusterFour,CCNYL1,153,0.08705127619713575,rawMAE,min
clusterFour,UHRF2,154,0.08721848096374976,rawMAE,min
clusterFour,PUDP,155,0.08750494412884349,rawMAE,min
clusterFour,ZNF43,156,0.087557921405096,rawMAE,min
clusterFour,CASP8AP2,157,0.08756399055187375,rawMAE,min
clusterFour,SFXN1,158,0.08775824088414574,rawMAE,min
clusterFour,TOMM70,159,0.0878344536347915,rawMAE,min
clusterFour,GTF2H3,160,0.08791173375513374,rawMAE,min
clusterFour,AC016074.2,161,0.08807243495932725,rawMAE,min
clusterFour,TRAK2,162,0.08828462934791301,rawMAE,min
clusterFour,POLDIP2,163,0.0884635323272345,rawMAE,min
clusterFour,PCYOX1L,164,0.088467453182249,rawMAE,min
clusterFour,NIPSNAP2,165,0.08855489551679249,rawMAE,min
clusterFour,UBIAD1,166,0.08864764699540599,rawMAE,min
clusterFour,IPO8,167,0.08864998207507836,rawMAE,min
clusterFour,CPA5,168,0.0887008750417645,rawMAE,min
clusterFour,CHCHD1,169,0.08871612022079149,rawMAE,min
clusterFour,AMPD2,170,0.08877080038185999,rawMAE,min
clusterFour,SIN3B,171,0.08879068514289375,rawMAE,min
clusterFour,MED16,172,0.08882301534210486,rawMAE,min
clusterFour,PLEKHG2,173,0.08886166357427575,rawMAE,min
clusterFour,SCMH1,174,0.08886368997760163,rawMAE,min
clusterFour,RUVBL2,175,0.0891037305135345,rawMAE,min
clusterFour,RNF24,176,0.08925670770516324,rawMAE,min
clusterFour,AHCY,177,0.08933620650046724,rawMAE,min
clusterFour,MICU3,178,0.0893864265760695,rawMAE,min
clusterFour,CREM,179,0.0894618244231565,rawMAE,min
clusterFour,ETHE1,180,0.0895057535364695,rawMAE,min
clusterFour,CSKMT,181,0.0895279997523635,rawMAE,min
clusterFour,TMEM69,182,0.08955729158351639,rawMAE,min
clusterFour,TNFRSF10A,183,0.08959163212386526,rawMAE,min
clusterFour,LY96,184,0.08994726165864649,rawMAE,min
clusterFour,ISYNA1,185,0.09006299253471774,rawMAE,min
clusterFour,NUP93,186,0.09026172982352075,rawMAE,min
clusterFour,SOCS2,187,0.09051161886704874,rawMAE,min
clusterFour,P4HA1,188,0.09051469167699525,rawMAE,min
clusterFour,TOR1AIP2,189,0.09052392818658199,rawMAE,min
clusterFour,TNFRSF10D,190,0.09067866173986448,rawMAE,min
clusterFour,GNL3L,191,0.090897899284134,rawMAE,min
clusterFour,ZNF518B,192,0.09091980255678099,rawMAE,min
clusterFour,Z93241.1,193,0.09094564322164873,rawMAE,min
clusterFour,STK38L,194,0.09117882930680375,rawMAE,min
clusterFour,LDLRAD4,195,0.09124921950536449,rawMAE,min
clusterFour,BAD,196,0.09132858578228299,rawMAE,min
clusterFour,RNF157,197,0.09134737851764199,rawMAE,min
clusterFour,FRA10AC1,198,0.09141591877725587,rawMAE,min
clusterFour,ARIH2OS,199,0.09147154780980249,rawMAE,min
clusterFour,PGS1,200,0.09184706309722657,rawMAE,min
clusterFour,DOHH,201,0.09191263449166599,rawMAE,min
clusterFour,ANKRD28,202,0.09196886797304775,rawMAE,min
clusterFour,ZNF589,203,0.09204429224398723,rawMAE,min
clusterFour,ATP2B1-AS1,204,0.09206965692675549,rawMAE,min
clusterFour,CENPM,205,0.0921114459388005,rawMAE,min
clusterFour,STK35,206,0.092138995936409,rawMAE,min
clusterFour,ZNF19,207,0.09227283352748473,rawMAE,min
clusterFour,RFX5,208,0.09239661096258074,rawMAE,min
