cluster,gene,rank,score,method,direction
clusterThree,MYLK-AS1,145,0.004690452175963251,rawMAE,min
clusterThree,METTL1,146,0.004690527905282676,rawMAE,min
clusterThree,AOPEP,147,0.0047101147438825,rawMAE,min
clusterThree,ZNRF3,148,0.004734684813823525,rawMAE,min
clusterThree,AMACR,149,0.004761287064481177,rawMAE,min
clusterThree,AL109628.2,150,0.004792589448018476,rawMAE,min
clusterThree,CPEB3,151,0.004793127710688751,rawMAE,min
clusterThree,RILPL1,152,0.004794954344542051,rawMAE,min
clusterThree,LANCL2,153,0.004803235510143676,rawMAE,min
clusterThree,FAM156A,154,0.004812147018796524,rawMAE,min
clusterThree,AC006299.1,155,0.004815959434893324,rawMAE,min
clusterThree,CRIPAK,156,0.004830038598472901,rawMAE,min
clusterThree,USP35,157,0.004831447492665401,rawMAE,min
clusterThree,CRADD,158,0.004854314259284825,rawMAE,min
clusterThree,AC242842.1,159,0.0048548695645974,rawMAE,min
clusterThree,AGBL3,160,0.004856140932581326,rawMAE,min
clusterThree,AC093227.1,161,0.004859069072545724,rawMAE,min
clusterThree,ZBED6CL,162,0.0048601703305772995,rawMAE,min
clusterThree,DECR2,163,0.0048673851109972,rawMAE,min
clusterThree,ZBTB26,164,0.004939166355661476,rawMAE,min
clusterThree,NFKBIE,165,0.0049450229296796235,rawMAE,min
clusterThree,PON2,166,0.004960561541808024,rawMAE,min
clusterThree,FAM171A1,167,0.0049871803845025,rawMAE,min
clusterThree,ZNF879,168,0.004995739451982475,rawMAE,min
clusterThree,NMNAT1,169,0.0050040443912767255,rawMAE,min
clusterThree,C1orf112,170,0.00501815740822725,rawMAE,min
clusterThree,STX1A,171,0.0050401752573502505,rawMAE,min
clusterThree,AC138969.1,172,0.005054136186423875,rawMAE,min
clusterThree,ZNF117,173,0.0050572541394696,rawMAE,min
clusterThree,AC245014.3,174,0.005072487864705652,rawMAE,min
clusterThree,KIF9,175,0.0050883129582431005,rawMAE,min
clusterThree,MYO16,176,0.00508917224809425,rawMAE,min
clusterThree,DTHD1,177,0.005089812862714126,rawMAE,min
clusterThree,THAP8,178,0.005090871633793551,rawMAE,min
clusterThree,MORN3,179,0.0051001530679549755,rawMAE,min
clusterThree,SNX22,180,0.00511121672044535,rawMAE,min
clusterThree,SPAG1,181,0.005143816452727375,rawMAE,min
clusterThree,HEXIM2,182,0.005180122234605999,rawMAE,min
clusterThree,AC016957.2,183,0.005180479298226801,rawMAE,min
clusterThree,SFXN5,184,0.005188042068805174,rawMAE,min
clusterThree,QPCTL,185,0.005200714735487802,rawMAE,min
clusterThree,CDH23,186,0.0052032149627176,rawMAE,min
clusterThree,DYNC2H1,187,0.005205610430977325,rawMAE,min
clusterThree,KRBA1,188,0.005208918810416426,rawMAE,min
clusterThree,MCU,189,0.005219685715302876,rawMAE,min
clusterThree,FNBP1L,190,0.005222435254525751,rawMAE,min
clusterThree,LINC00893,191,0.005245281399392777,rawMAE,min
clusterThree,GGACT,192,0.005250300920168049,rawMAE,min
clusterThree,ZNF554,193,0.005256944295812749,rawMAE,min
clusterThree,GALE,194,0.005264060685632176,rawMAE,min
clusterThree,BMP2K,195,0.005276735698617724,rawMAE,min
clusterThree,GVQW3,196,0.0052984472165385505,rawMAE,min
